psi_deg,deltaDM
0.0,-42.11738737541532
1.0,-42.11738737541532
2.0,-71.38101882352953
3.0,-71.38101882352953
4.0,-71.38101882352953
5.0,-73.79803557760442
6.0,-88.12414823848258
7.0,-88.12414823848258
8.0,-99.95595022742032
9.0,-99.95595022742032
10.0,-98.49991999999952
11.0,-90.37398227848075
12.0,-90.37398227848075
13.0,-90.37398227848075
14.0,-90.37398227848075
15.0,-90.37398227848075
16.0,-90.37398227848075
17.0,-90.37398227848075
18.0,-90.37398227848075
19.0,-104.64118339920924
20.0,-117.20800460526311
21.0,-127.65811466666673
22.0,-120.76176174636157
23.0,-21.954406702282768
24.0,-21.954406702282768
25.0,-31.441213333333053
26.0,-25.16755614773274
27.0,-25.16755614773274
28.0,-25.16755614773274
29.0,-35.464920588235145
30.0,6.430126381461605
31.0,40.30350451388904
32.0,37.52883303303315
33.0,37.52883303303315
34.0,49.77890315258492
35.0,33.59355576684561
36.0,33.59355576684561
37.0,26.06019983579631
38.0,-0.19383620129883639
39.0,-9.93635434343446
40.0,-9.93635434343446
41.0,94.6219267628203
42.0,143.7109902360944
43.0,127.19313141256453
44.0,120.45523669871795
45.0,120.45523669871795
46.0,120.45523669871795
47.0,120.45523669871795
48.0,120.45523669871795
49.0,113.63983156199674
50.0,117.63223313131311
51.0,124.26158620971023
52.0,110.33225911330078
53.0,110.33225911330078
54.0,94.47678831441817
55.0,94.47678831441817
56.0,84.94141969439761
57.0,87.62691557271546
58.0,75.71587296703274
59.0,60.02263208556178
60.0,24.329522857142592
61.0,11.203883333333124
62.0,2.6680691019787446
63.0,10.267325333333247
64.0,-2.647384649122614
65.0,-46.38267425474305
66.0,25.036788235294125
67.0,25.036788235294125
68.0,-3.223702678571499
69.0,2.813317607973204
70.0,2.813317607973204
71.0,-5.824686295314223
72.0,-5.824686295314223
73.0,-5.824686295314223
74.0,-5.824686295314223
75.0,-5.824686295314223
76.0,-5.824686295314223
77.0,-5.824686295314223
78.0,-5.824686295314223
79.0,-5.824686295314223
80.0,-5.824686295314223
81.0,-5.824686295314223
82.0,-5.824686295314223
83.0,-5.824686295314223
84.0,-5.824686295314223
85.0,-5.824686295314223
86.0,-5.824686295314223
87.0,-5.824686295314223
88.0,-5.824686295314223
89.0,-5.824686295314223
90.0,-5.824686295314223
91.0,-5.824686295314223
92.0,-5.824686295314223
93.0,-5.824686295314223
94.0,-5.824686295314223
95.0,-5.824686295314223
96.0,-5.824686295314223
97.0,-5.824686295314223
98.0,-5.824686295314223
99.0,-5.824686295314223
100.0,-5.824686295314223
101.0,-5.824686295314223
102.0,-5.824686295314223
103.0,-5.824686295314223
104.0,-5.824686295314223
105.0,-5.824686295314223
106.0,3.6220128702757393
107.0,3.6220128702757393
108.0,3.6220128702757393
109.0,3.6220128702757393
110.0,3.6220128702757393
111.0,3.6220128702757393
112.0,3.6220128702757393
113.0,3.6220128702757393
114.0,3.6220128702757393
115.0,3.6220128702757393
116.0,3.6220128702757393
117.0,3.6220128702757393
118.0,3.6220128702757393
119.0,3.6220128702757393
120.0,3.6220128702757393
121.0,3.6220128702757393
122.0,3.6220128702757393
123.0,3.6220128702757393
124.0,-6.99894888888889
125.0,-52.35606666666672
126.0,-52.35606666666672
127.0,-52.35606666666672
128.0,-110.87253152173889
129.0,-34.60652503840265
130.0,-105.33193687943276
131.0,-125.03599374999976
132.0,-125.03599374999976
133.0,-125.03599374999976
134.0,-125.03599374999976
135.0,-125.03599374999976
136.0,-125.03599374999976
137.0,-125.03599374999976
138.0,-125.03599374999976
139.0,-109.41630996563572
140.0,-362.86143265306123
141.0,-362.86143265306123
142.0,-251.41881855670113
143.0,-251.41881855670113
144.0,-20.62662020201992
145.0,-20.62662020201992
146.0,-20.62662020201992
147.0,-20.62662020201992
148.0,-20.62662020201992
149.0,-20.62662020201992
150.0,-20.62662020201992
151.0,-20.62662020201992
152.0,-20.62662020201992
153.0,104.86968979591825
154.0,104.86968979591825
155.0,104.86968979591825
156.0,104.86968979591825
157.0,104.86968979591825
158.0,104.86968979591825
159.0,174.14709209621992
160.0,174.14709209621992
161.0,195.9280166666665
162.0,155.32173263157893
163.0,155.32173263157893
164.0,155.32173263157893
165.0,153.0352617021274
166.0,20.54839239130456
167.0,60.40093999999999
168.0,76.89868294177745
169.0,76.89868294177745
170.0,76.89868294177745
171.0,76.89868294177745
172.0,76.89868294177745
173.0,8.400592219275268
174.0,8.400592219275268
175.0,42.11738737541532
176.0,42.11738737541532
177.0,42.11738737541532
178.0,42.11738737541532
179.0,42.11738737541532
180.0,42.11738737541532
